number,kind,title,category,evidence,linked_fix_prs,status
7400,PR,fix: template versions test flake,workspace/agent lifecycle,fix: template versions test flake https://github.com/coder/coder/actions/runs/4877036481/jobs/8701482025#step:9:315 fix: template versions test flake https://github.com/coder/coder/actions/runs/4877036481/jobs/8701482025#step:9:315 fix: template versions test flake https://github.com/coder/coder/actions/runs/4877036481/jobs/8701482025#step:9:315 coderd/templateversions_test.go,#7400,closed; merged
7803,PR,ci: add nightly flake workflow,unknown/needs manual read,ci: add nightly flake workflow ci: add nightly flake workflow ci: add nightly flake workflow .github/workflows/nightly-flake.yaml,#7803,closed; merged
8002,PR,chore: remove key comparison check to fix gitsshkey flake,networking/proxy/websocket,chore: remove key comparison check to fix gitsshkey flake In tests we use weak randomness and the same key was generated which caused a test flake here. chore: remove key comparison check to fix gitsshkey flake In tests we use weak randomness and the same key was generated which caused a test flake here. chore: remove key comparison check to fix gitsshkey flake In tests we use weak randomness and the same key was gen…,#8002,closed; merged
8004,PR,fix: scope errors to subtests to reduce flake,networking/proxy/websocket,…/coder/coder/actions/runs/5257676837/jobs/9500882394 enterprise/coderd/workspaceproxy_test.go,#8004,closed; merged
8226,PR,chore: update nix flake to include sqlc v1.18.0,not-a-test-flake/nix-flake-or-maintenance,"chore: update nix flake to include sqlc v1.18.0 Right now, I'm unable to develop Coder on Mac (which is my primary environment), as it fails due to lack of `sqlc.embed`: ``` $ make gen generate # package database queries/provisionerjobs.sql:51:1: function ""sqlc.embed"" does not exist make: *** [Makefile:490: coderd/database/querier.go] Error 1 ``` sqlc v1.18.0 was [added](https://github.com/NixOS/nixpkgs/pull/229626) …",,closed; merged
8228,PR,fix: fix TestPGCoordinatorDual_Mainline flake,test isolation/order dependency,"…/runs/5376578815/jobs/9753922291?pr=8195 What was happening is that there was a duplicate update pushed, due to races in the test between connecting the clients, agents, and initial heartbeats. We attempt to suppress duplicates by serializing the updates to JSON, and comparing with the last update, but this is sensitive to ordering of the nodes. Ultimately, the updates are idempotent, so dupes are benign. I'm not goi…",#8228,closed; merged
8369,PR,chore(coderd/database): fix test flake in TestUserLastSeenFilter,database/transactions/migrations,chore(coderd/database): fix test flake in TestUserLastSeenFilter chore(coderd/database): fix test flake in TestUserLastSeenFilter chore(coderd/database): fix test flake in TestUserLastSeenFilter coderd/database/querier_test.go,#8369,closed; merged
8576,PR,test(testutil): increase wait times to reduce flakes,timing/eventual consistency,test(testutil): increase wait times to reduce flakes This is a test to see if https://github.com/coder/coder/pull/8561 is a culprit to increased flakeyness by improving in-memory networking performance enough to more easily cause 5-second delays due to WireGuard handshake retry. test(testutil): increase wait times to reduce flakes This is a test to see if https://github.com/coder/coder/pull/8561 is a culprit to incre…,#8576,closed; merged
8612,PR,test(coderd): fix `TestWorkspaceWatcher` flake,concurrency/race,"…tcher` flake A previous PR removed the provisioner close, causing the cancel to race with the build completing. test(coderd): fix `TestWorkspaceWatcher` flake A previous PR removed the provisioner close, causing the cancel to race with the build completing. test(coderd): fix `TestWorkspaceWatcher` flake A previous PR removed the provisioner close, causing the cancel to race with the build completing. coderd/workspace…",#8612,closed; merged
8613,PR,test(agent): fix `TestAgent_Metadata/Once` flake,concurrency/race,"test(agent): fix `TestAgent_Metadata/Once` flake There's a race condition between checking `lastCollectedAts` and spawning the singleflight that could cause a metadata to execute multiple times, even if specified to run once. This moves the `lastCollectedAts` check to inside the singleflight to actually ensure the validity of the checks. Also fixes an issue where the context timeout could be 0. [Latest failure](https…",#8613,closed; merged
8645,PR,chore: update nix flake to include sqlc v1.19.0,not-a-test-flake/nix-flake-or-maintenance,chore: update nix flake to include sqlc v1.19.0 Spotted in https://github.com/coder/coder/pull/8644 `make gen` is failing on Mac with the following complain: ```bash make gen generate models.go:16:2: no required module provides package github.com/tabbed/pqtype; to add it: go get github.com/tabbed/pqtype make: *** [Makefile:506: coderd/database/querier.go] Error 1 make: *** Deleting file 'coderd/database/querier.go' `…,,closed; merged
8652,PR,chore(coderd/util/tz): skip flaky test under windows,platform/os-specific CI behavior,chore(coderd/util/tz): skip flaky test under windows Tested this on a windows VM and it worked fine. chore(coderd/util/tz): skip flaky test under windows Tested this on a windows VM and it worked fine. chore(coderd/util/tz): skip flaky test under windows Tested this on a windows VM and it worked fine. coderd/util/tz/tz_test.go,#8652,closed; merged
8715,PR,chore: update nix flake to include sqlc v1.19.1,not-a-test-flake/nix-flake-or-maintenance,chore: update nix flake to include sqlc v1.19.1 Related: https://github.com/NixOS/nixpkgs/pull/245006 This PR updates dependency on sqlc v1.19.1 as currently `make gen` fails with: ``` generate models.go:16:2: no required module provides package github.com/tabbed/pqtype; to add it: go get github.com/tabbed/pqtype make: *** [Makefile:511: coderd/database/querier.go] Error 1 make: *** Deleting file 'coderd/database/que…,,closed; merged
8755,PR,chore: fix workspace proxy flake,networking/proxy/websocket,chore: fix workspace proxy flake https://github.com/coder/coder/actions/runs/5674701372/job/15378720827?pr=8753 chore: fix workspace proxy flake https://github.com/coder/coder/actions/runs/5674701372/job/15378720827?pr=8753 chore: fix workspace proxy flake https://github.com/coder/coder/actions/runs/5674701372/job/15378720827?pr=8753 enterprise/coderd/workspaceproxy.go,#8755,closed; merged
8806,PR,fix(cli): stat: set --host arg in TestStatCPUCmd to avoid test flakes in containers,networking/proxy/websocket,fix(cli): stat: set --host arg in TestStatCPUCmd to avoid test flakes in containers fix(cli): stat: set --host arg in TestStatCPUCmd to avoid test flakes in containers fix(cli): stat: set --host arg in TestStatCPUCmd to avoid test flakes in containers cli/stat_test.go,#8806,closed; merged
8952,PR,chore: fix `TestBatchStats` flake,workspace/agent lifecycle,… coderd/batchstats/batcher.go coderd/batchstats/batcher_internal_test.go coderd/workspaceagents.go,#8952,closed; merged
8953,PR,chore: fix `TestTailnet/ForcesWebSockets` flake,networking/proxy/websocket,chore: fix `TestTailnet/ForcesWebSockets` flake chore: fix `TestTailnet/ForcesWebSockets` flake chore: fix `TestTailnet/ForcesWebSockets` flake coderd/batchstats/batcher.go tailnet/conn_test.go tailnet/tailnettest/tailnettest.go,#8953,closed; merged
9197,PR,chore(flake.nix): add gcloud and kubectl to flake,not-a-test-flake/nix-flake-or-maintenance,chore(flake.nix): add gcloud and kubectl to flake chore(flake.nix): add gcloud and kubectl to flake chore(flake.nix): add gcloud and kubectl to flake flake.lock flake.nix,,closed; merged
9202,PR,fix: add sapling to the nix flake,not-a-test-flake/nix-flake-or-maintenance,fix: add sapling to the nix flake fix: add sapling to the nix flake fix: add sapling to the nix flake flake.nix,,closed; merged
9215,PR,fix(flake.nix): add gcloud auth plugin,not-a-test-flake/nix-flake-or-maintenance,fix(flake.nix): add gcloud auth plugin fix(flake.nix): add gcloud auth plugin fix(flake.nix): add gcloud auth plugin flake.lock flake.nix,,closed; merged
9219,PR,chore(flake.nix): add kubectx,not-a-test-flake/nix-flake-or-maintenance,"chore(flake.nix): add kubectx I ran the flake update command but it didn't produce any lockfile changes, is that correct? chore(flake.nix): add kubectx I ran the flake update command but it didn't produce any lockfile changes, is that correct? chore(flake.nix): add kubectx I ran the flake update command but it didn't produce any lockfile changes, is that correct? flake.nix",,closed; merged
9224,PR,chore: add dependencies for js-test to our nix flake,not-a-test-flake/nix-flake-or-maintenance,chore: add dependencies for js-test to our nix flake chore: add dependencies for js-test to our nix flake chore: add dependencies for js-test to our nix flake flake.nix,,closed; merged
9262,PR,chore: fix flake in TestDERPHeaders,networking/proxy/websocket,chore: fix flake in TestDERPHeaders Closes #9107 chore: fix flake in TestDERPHeaders Closes #9107 chore: fix flake in TestDERPHeaders Closes #9107 cli/root_test.go,#9262,closed; merged
9330,PR,fix: fix test flake introduced by #9264,workspace/agent lifecycle,…by #9264 Missed one! fix: fix test flake introduced by #9264 Missed one! coderd/templateversions_test.go coderd/workspacebuilds_test.go scaletest/createworkspaces/run_test.go Filed https://github.com/coder/coder/issues/9331 for test-go-pg flake Fixes #9331,#9330,closed; merged
9656,PR,test: fix flaky TestPatchTemplateMeta/Modified,workspace/agent lifecycle,"…com/coder/coder/issues/9546 This PR adjusts the ""Modified"" test to wait for the provisioner job to finish before proceeding with the meta update. According to the [log output](https://github.com/coder/coder/actions/runs/6096050093/job/16540816865?pr=9522#step:5:261), provisioning was still in progress while the test cleanup was performed. test: fix flaky TestPatchTemplateMeta/Modified Fixes: https://github.com/coder/…",#9656,closed; merged
9666,PR,test: fix flaky: TestDeleteTemplate/NoWorkspaces,unknown/needs manual read,test: fix flaky: TestDeleteTemplate/NoWorkspaces It seems to be the same root cause as https://github.com/coder/coder/commit/e2579e944037bff083419c5313d98ec58389213a. test: fix flaky: TestDeleteTemplate/NoWorkspaces It seems to be the same root cause as https://github.com/coder/coder/commit/e2579e944037bff083419c5313d98ec58389213a. test: fix flaky: TestDeleteTemplate/NoWorkspaces It seems to be the same root cause as…,#9666,closed; merged
9680,PR,test: fix flaky TestPostWorkspacesByOrganization/TemplateNoTTL,test isolation/order dependency,"…ions/runs/6174322059/job/16759012795 Again, provisioning job in progress during cleanup. test: fix flaky TestPostWorkspacesByOrganization/TemplateNoTTL Spotted in: https://github.com/coder/coder/actions/runs/6174322059/job/16759012795 Again, provisioning job in progress during cleanup. test: fix flaky TestPostWorkspacesByOrganization/TemplateNoTTL Spotted in: https://github.com/coder/coder/actions/runs/6174322059/job…",#9680,closed; merged
9709,PR,chore: fix test flake in TestProvisionerd,workspace/agent lifecycle,chore: fix test flake in TestProvisionerd fixes #9340 I ran this with `go test -v -race -count=10000 -run TestProvisionerd/InstantClose` after fixing and was unable to trigger so I think this should fix the problem. chore: fix test flake in TestProvisionerd fixes #9340 I ran this with `go test -v -race -count=10000 -run TestProvisionerd/InstantClose` after fixing and was unable to trigger so I think this should fix t…,#9709,closed; merged
9746,PR,chore: fix flake in tunnel,networking/proxy/websocket,"chore: fix flake in tunnel Retry to create the tunnel server multiple times in case the port is taken. We can't pass a listener in because of how wireguard is designed, so sadly this is the best solution I can see. Closes https://github.com/coder/coder/issues/9745 chore: fix flake in tunnel Retry to create the tunnel server multiple times in case the port is taken. We can't pass a listener in because of how wireguard…",#9746,closed; merged
9798,PR,test(site): fix terminal page test flakiness,browser/e2e/playwright,… https://github.com/coder/coder/issues/9762 site/src/pages/TerminalPage/TerminalPage.test.tsx,#9798,closed; merged
9865,PR,fix: resolve flake in log sender by checking context,unknown/needs manual read,fix: resolve flake in log sender by checking context See: https://github.com/coder/coder/actions/runs/6305051172/job/17117693579 fix: resolve flake in log sender by checking context See: https://github.com/coder/coder/actions/runs/6305051172/job/17117693579 fix: resolve flake in log sender by checking context See: https://github.com/coder/coder/actions/runs/6305051172/job/17117693579 codersdk/agentsdk/logs.go,#9865,closed; merged
9928,PR,test: fix flaky TestCreateValidateRichParameters/ValidateString,resource exhaustion/timeout,"…[a-z]+$\"")"" create_test.go:448: 2023-09-27 16:54:58.779: cmd: read error: match deadline exceeded: context deadline exceeded (wanted ""Confirm create?""; got "" (default: \""\""): can't validate build parameter \""string_parameter\"": this is error (value \""\"" does not match \""^[a-z]+$\"")\n> Enter a value (default: \""\""): "") ``` An empty string (with `\r\n`) was treated as input value. test: fix flaky TestCreateValidateRich…",#9928,closed; merged
9931,PR,test: fix flaky TestPostWorkspacesByOrganization/Create,unknown/needs manual read,test: fix flaky TestPostWorkspacesByOrganization/Create Fixes: https://github.com/coder/coder/issues/9785 test: fix flaky TestPostWorkspacesByOrganization/Create Fixes: https://github.com/coder/coder/issues/9785 test: fix flaky TestPostWorkspacesByOrganization/Create Fixes: https://github.com/coder/coder/issues/9785 coderd/workspaces_test.go,#9931,closed; merged
10066,PR,chore: increase `ForceCancelInterval` for test flakes,resource exhaustion/timeout,chore: increase `ForceCancelInterval` for test flakes See https://github.com/coder/coder/actions/runs/6411239320/job/17406394658 chore: increase `ForceCancelInterval` for test flakes See https://github.com/coder/coder/actions/runs/6411239320/job/17406394658 chore: increase `ForceCancelInterval` for test flakes See https://github.com/coder/coder/actions/runs/6411239320/job/17406394658 coderd/coderdtest/coderdtest.go,#10066,closed; merged
10106,PR,chore(site): skip flaky test,browser/e2e/playwright,…est site/src/pages/WorkspaceSettingsPage/WorkspaceSchedulePage/WorkspaceSchedulePage.test.tsx,,closed; not_merged
10110,PR,chore: fix servertailnet test flake,networking/proxy/websocket,chore: fix servertailnet test flake https://github.com/coder/coder/actions/runs/6424100765/job/17444018788?pr=10083#step:5:771 chore: fix servertailnet test flake https://github.com/coder/coder/actions/runs/6424100765/job/17444018788?pr=10083#step:5:771 chore: fix servertailnet test flake https://github.com/coder/coder/actions/runs/6424100765/job/17444018788?pr=10083#step:5:771 coderd/tailnet.go tailnet/conn.go Curre…,#10110,closed; merged
10222,PR,chore(enterprise/cli): fix test flake in TestServerDBCrypt,database/transactions/migrations,chore(enterprise/cli): fix test flake in TestServerDBCrypt Fixes https://github.com/coder/coder/issues/10219 chore(enterprise/cli): fix test flake in TestServerDBCrypt Fixes https://github.com/coder/coder/issues/10219 chore(enterprise/cli): fix test flake in TestServerDBCrypt Fixes https://github.com/coder/coder/issues/10219 enterprise/cli/server_dbcrypt_test.go,#10222,closed; merged
10252,PR,fix(scaletest): fix flake in Test_Runner/Cleanup,timing/eventual consistency,"…ub.com/coder/coder/issues/10240 From the linked issue: - We get to the `require.Eventually` that asserts that the build was canceled - This times out after 10 seconds - It appears that the build job never got canceled after 10 seconds - It also appears that a second build never got created - We unfortunately appear to be missing cleanup logs in the output, so hard to troubleshoot further. Based on the above, it looks…",#10252,closed; merged
10384,PR,test(agent): fix service banner trim test flake,unknown/needs manual read,test(agent): fix service banner trim test flake https://github.com/coder/coder/actions/runs/6613588583/job/17961742768?pr=10377 test(agent): fix service banner trim test flake https://github.com/coder/coder/actions/runs/6613588583/job/17961742768?pr=10377 test(agent): fix service banner trim test flake https://github.com/coder/coder/actions/runs/6613588583/job/17961742768?pr=10377 agent/agent_test.go,#10384,closed; merged
10387,PR,test(coderd): fix TestWorkspaceBuild flake,workspace/agent lifecycle,test(coderd): fix TestWorkspaceBuild flake Fixes #10335 test(coderd): fix TestWorkspaceBuild flake Fixes #10335 test(coderd): fix TestWorkspaceBuild flake Fixes #10335 coderd/workspacebuilds_test.go,#10387,closed; merged
10390,PR,test(cli): fix TestServer flake due to DNS lookup,networking/proxy/websocket,"test(cli): fix TestServer flake due to DNS lookup Occasionally we see networking issues on GitHub actions, and DNS lookups are just an extra point-of-failure. I've added a fast-track list for `example.com` and `google.com` when running as a test. This should hopefully help reduce flakes like this: https://github.com/coder/coder/actions/runs/6616368262/job/17970506089 test(cli): fix TestServer flake due to DNS lookup …",#10390,closed; merged
10553,PR,fix: stop SSHKeysPage from flaking,browser/e2e/playwright,"…utation errors solely through the snackbar, and not also the local UI - Updated Storybook to remove UI error logic, and updated the test to make selectors more semantics-based fix: stop SSHKeysPage from flaking Closes #10481 This fix updates `SSHKeys.tsx` to prevent its tests from flaking. ## Changes made - Refactored `<GlobalSnackbar>` and `useCustomEvent` to simplify snackbar logic - Updated `SSHKeys.tsx` to proces…",#10553,closed; merged
10591,PR,chore: fix flake.nix to run on macos,not-a-test-flake/nix-flake-or-maintenance,chore: fix flake.nix to run on macos strace is unavailable on macos. flake.nix is updated to handle this scenario. chore: fix flake.nix to run on macos strace is unavailable on macos. flake.nix is updated to handle this scenario. chore: fix flake.nix to run on macos strace is unavailable on macos. flake.nix is updated to handle this scenario. flake.nix ****CLA Assistant Lite bot**** All contributors have signed the C…,,closed; merged
10711,PR,fix: disable flaky test TestSSH/RemoteForward_Unix_Signal,concurrency/race,"…rd_Unix_Signal Unfortunately this new test is flaky. Pretty sure our code has a race, but not good to break other people's PRs while I'm figuring it out. fix: disable flaky test TestSSH/RemoteForward_Unix_Signal Unfortunately this new test is flaky. Pretty sure our code has a race, but not good to break other people's PRs while I'm figuring it out. fix: disable flaky test TestSSH/RemoteForward_Unix_Signal Unfortunate…",#10711,closed; merged
10826,PR,test: skip flaky HealthyWithNodeDegraded,networking/proxy/websocket,…egraded Related: https://github.com/coder/coder/issues/10824 coderd/healthcheck/derphealth/derp_test.go,#10826,closed; merged
10833,PR,chore: fix flake in listening ports test,workspace/agent lifecycle,… test Closes #10832 agent/agent.go agent/api.go agent/ports_supported.go coderd/workspaceagents_test.go,#10833,closed; merged
10855,PR,test(agent/agentssh): fix flake in signal test,workspace/agent lifecycle,"test(agent/agentssh): fix flake in signal test I'm hoping this will fix the following flake: https://github.com/coder/coder/actions/runs/6972992773/job/18976211275 I'm unable to reproduce the issue on my Mac, hence 🤞 test(agent/agentssh): fix flake in signal test I'm hoping this will fix the following flake: https://github.com/coder/coder/actions/runs/6972992773/job/18976211275 I'm unable to reproduce the issue on my…",#10855,closed; merged
10875,PR,chore: fix flake in templates_test.go,unknown/needs manual read,chore: fix flake in templates_test.go It looks like multiple people have tried to fix similar flakes but no one checked to see if there were any more instances of the same problem in the same file... Fixes this flake https://github.com/coder/coder/actions/runs/7000137148/job/19040369936?pr=10590#step:5:464 chore: fix flake in templates_test.go It looks like multiple people have tried to fix similar flakes but no one …,#10875,closed; merged
10963,PR,fix: fix TestWorkspaceAutobuild/DormantNoAutostart flake,workspace/agent lifecycle,fix: fix TestWorkspaceAutobuild/DormantNoAutostart flake fixes https://github.com/coder/coder/issues/10947 The test forgets to reassign the updated workspace object after stopping the workspace so the build time that we use to pass to the autobuilder ticker is the one from initially starting the workspace. You would frequently get lucky because both builds would occur within the same hour. In this case the start buil…,#10963,closed; merged
10965,PR,fix: fix TestWorkspaceAutobuild/InactiveTTLOK flake,workspace/agent lifecycle,fix: fix TestWorkspaceAutobuild/InactiveTTLOK flake The workspace is in a started state. We try to stop any started workspaces when transitioning them to dormant. There's a race with the provisioner who will also generate an audit log for the workspace build associated with the stop. fixes https://github.com/coder/coder/issues/10957 fix: fix TestWorkspaceAutobuild/InactiveTTLOK flake The workspace is in a started sta…,#10965,closed; merged
10992,PR,fix: use database for user creation to prevent flake,database/transactions/migrations,fix: use database for user creation to prevent flake After speaking with @Emyrk I moved the user creation of these tests to use the database directly to speed things up and do less http requests in order to stay under the 50 second timeout. Closes https://github.com/coder/coder/issues/10978 fix: use database for user creation to prevent flake After speaking with @Emyrk I moved the user creation of these tests to use …,#10992,closed; merged
11023,PR,fix: pass in time parameter to prevent flakes,timing/eventual consistency,"…ep:5:428 Here's what I have so far: - The tests failed very close to midnight: `insights_internal_test.go:162: now: 2023-11-08 23:59:56.781794 +0000 UTC m=+7.293516543` - I noticed the monotonic clock reading, ~~and upon further reading about it I think it's reasonable to strip this when dealing with parse fix: pass in time parameter to prevent flakes Closes https://github.com/coder/coder/issues/10600 I'm trying to u…",#11023,closed; merged
11096,PR,chore: fix flake in TestExecutorAutostopTemplateDisabled,workspace/agent lifecycle,… and fixed it but we should maybe reconsider whether this test should exist in `autobuild` since it's really testing that the deadline is set correctly in `provisionerdserver`. We can't really refactor this test with `dbfake` without completely obviating what it's trying to test. fixes https://github.com/coder/coder/issues/10359 chore: fix flake in TestExecutorAutostopTemplateDisabled Fixes a flake where the followin…,#11096,closed; merged
11240,PR,"chore: fix flake, use time closer to actual test",timing/eventual consistency,"… Fixes: https://github.com/coder/coder/issues/11011 Could reproduce by adding a sleep to the start of the test chore: fix flake, use time closer to actual test The tests were queued, and the autostart time was being set to the time the table was created, not when the test was actually being run. This diff was causing failures in CI Fixes: https://github.com/coder/coder/issues/11011 Could reproduce by adding a sleep t…",#11240,closed; merged
11251,PR,chore: fix TestWorkspaceAutobuild/DormancyThresholdOK flake,workspace/agent lifecycle,chore: fix TestWorkspaceAutobuild/DormancyThresholdOK flake fixes https://github.com/coder/coder/issues/11238 Checking for audit logs generated from workspace builds is flaky since there exists a small gap of time between when the transaction is committed for completing a job and when we write an audit log. In fact this means any test in our `coderd` package that is asserting build-related audit logs is inherently fl…,#11251,closed; merged
11316,PR,chore(coderd): fix test flake with auditor,workspace/agent lifecycle,…est flake with auditor Fixes https://github.com/coder/coder/issues/10961 coderd/workspacebuilds_test.go,#11316,closed; merged
11384,PR,chore(coderd/database/dbfake): fix pq test flake in TestStart_Starting,database/transactions/migrations,chore(coderd/database/dbfake): fix pq test flake in TestStart_Starting test-go-pg got skipped in https://github.com/coder/coder/pull/11381 so [this](https://github.com/coder/coder/actions/runs/7395536966/job/20118913609#step:5:331) snuck through. ``` start_test.go:423: Error Trace: /home/runner/actions-runner/_work/coder/coder/coderd/database/dbfake/dbfake.go:197 /home/runner/actions-runner/_work/coder/coder/cli/star…,#11384,closed; merged
11453,PR,chore(coderd/provisionerdserver): fix test flake in TestHeartbeat,concurrency/race,…/coder/actions/runs/7423302316/job/20200458237?pr=11393#step:5:346 ``` WARNING: DATA RACE Write at 0x00c0000651b0 by goroutine 28: runtime.closechan() /opt/hostedtoolcache/go/1.21.5/x64/src/runtime/chan.go:357 +0x0 github.com/coder/coder/v2/coderd/provisionerdserver_test.TestHeartbeat() /home/runner/actions-runner/_work/coder/coder/coderd/provisionerdserver/provisionerdserver_test.go:137 +0x3eb testing.tRunner() /opt…,,closed; not_merged
11501,PR,fix: generate new random username to prevent flake,test isolation/order dependency,fix: generate new random username to prevent flake Closes https://github.com/coder/coder/issues/11497 fix: generate new random username to prevent flake Closes https://github.com/coder/coder/issues/11497 fix: generate new random username to prevent flake Closes https://github.com/coder/coder/issues/11497 cli/rename_test.go,#11501,closed; merged
11518,PR,chore(coderd): fix test flake in TestAgentWebsocketMonitor_SendPings,networking/proxy/websocket,chore(coderd): fix test flake in TestAgentWebsocketMonitor_SendPings Fixes https://github.com/coder/coder/issues/11517 My read of the original issue is that `m.lastPing` can be stored in between ``` fConn.requireEventuallyHasPing(t) ``` and ``` lastPing := uut.lastPing.Load() ``` Triggering cancellation before checking lastPing should allow the for loop to complete its iteration through to storing lastPing. chore(cod…,#11518,closed; merged
11521,PR,chore(coderd): fix test flake in TestWorkspaceUpdateAutomaticUpdates_OK,unknown/needs manual read,chore(coderd): fix test flake in TestWorkspaceUpdateAutomaticUpdates_OK Fixes a test flake seen here: https://github.com/coder/coder/actions/runs/7464047942/job/20310133108#step:5:471 Ordering of audit logs is not guaranteed. chore(coderd): fix test flake in TestWorkspaceUpdateAutomaticUpdates_OK Fixes a test flake seen here: https://github.com/coder/coder/actions/runs/7464047942/job/20310133108#step:5:471 Ordering o…,#11521,closed; merged
11529,PR,chore(flake.nix): install mockgen from source,not-a-test-flake/nix-flake-or-maintenance,chore(flake.nix): install mockgen from source The stable package still points to the old repo. chore(flake.nix): install mockgen from source The stable package still points to the old repo. chore(flake.nix): install mockgen from source The stable package still points to the old repo. flake.nix <b>In this stack:</b> <code>🚀 Improve Development Environment with mockgen Installation</code> * `main` * **#11529** <a href=…,,closed; not_merged
11537,PR,chore: update flake to include new mockgen,not-a-test-flake/nix-flake-or-maintenance,"chore: update flake to include new mockgen It looks like we updated mockgen to use Uber's fork, but the flake lockfile still pointed to a nixos-unstable commit that had the old mockgen resulting in an error like: missing go.sum entry for module providing package github.com/golang/mock/mockgen/model chore: update flake to include new mockgen It looks like we updated mockgen to use Uber's fork, but the flake lockfile s…",,closed; merged
11541,PR,fix: fix flake in TestAgentWebsocketMonitor_SendPings,networking/proxy/websocket,"fix: fix flake in TestAgentWebsocketMonitor_SendPings Fixes flake seen here: https://github.com/coder/coder/runs/20330641188 Root cause is that we check the lastPing is non-nil after seeing the ping call, but this races with actually setting lastPing, which happens after the call. fix: fix flake in TestAgentWebsocketMonitor_SendPings Fixes flake seen here: https://github.com/coder/coder/runs/20330641188 Root cause is…",,closed; not_merged
11716,PR,fix: make yarn from nix flake use the right version of node,not-a-test-flake/nix-flake-or-maintenance,"fix: make yarn from nix flake use the right version of node Otherwise if for example you try to run `yarn storybook` it complains that the version of Node is wrong. `pnpm storybook` works fine and maybe that is what we should actually use, but as long as we have yarn installed might as well make use the right thing. fix: make yarn from nix flake use the right version of node Otherwise if for example you try to run `y…",,closed; merged
11808,PR,fix(coderd/provisionerdserver): fix test flake in TestHeartbeat,workspace/agent lifecycle,fix(coderd/provisionerdserver): fix test flake in TestHeartbeat Fixes a test flake seen here: https://github.com/coder/coder/actions/runs/7640549172/job/20815906797#step:5:431 ~I instead added a channel to `heartbeatLoop` to ensure that heartbeats are stopped when the ctx is cancelled.~ Edit: now relying on goleak to ensure that the heartbeat loop is stopped. fix(coderd/provisionerdserver): fix test flake in TestHear…,#11808,closed; merged
11974,PR,fix(flake.nix): add google-chrome to nix flake,not-a-test-flake/nix-flake-or-maintenance,fix(flake.nix): add google-chrome to nix flake Required for scaletest tests. fix(flake.nix): add google-chrome to nix flake Required for scaletest tests. fix(flake.nix): add google-chrome to nix flake Required for scaletest tests. flake.nix I am not a nix expert but why do we need this? I think we install the headless browsers Here https://github.com/coder/coder/blob/510d93638ba412d9ed32b8fa134f38c86e53ee9b/site/pack…,,closed; merged
12280,PR,chore: fix wsproxy test flake,networking/proxy/websocket,chore: fix wsproxy test flake Closes #12277 chore: fix wsproxy test flake Closes #12277 chore: fix wsproxy test flake Closes #12277 enterprise/wsproxy/wsproxy_test.go,#12280,closed; merged
12326,PR,test(agent/agentscripts): fix test flake in `TestEnv`,unknown/needs manual read,"test(agent/agentscripts): fix test flake in `TestEnv` This should hopefully fix the following flake: https://github.com/coder/coder/actions/runs/8066720038/job/22035474376 It looks like the test output was correct, but we errored on asserting no error on `Execute`. Thus it looks like our test-routine exited too quickly and called `runner.Close()` before `Execute` had completed. test(agent/agentscripts): fix test flak…",#12326,closed; merged
12364,PR,fix(cli): address test flake in TestSSH/Stdio_StartStoppedWorkspace_CleanStdout,resource exhaustion/timeout,"…ssh_test.go From inspecting the test output more, it looks like this was just a context deadline exceeded. I'm still running into flakes for this test, does this PR fix it or do we need an alternate fix? (See: https://github.com/coder/coder/actions/runs/8420752158/job/23056129504?pr=12675) Yeah I just ran into this as well but with `test-go-race`. I think part of the reason we're hitting the deadline is the overhead …",,closed; not_merged
12377,PR,chore: fix `Test_parseInsightsStartAndEndTime` flake,timing/eventual consistency,"chore: fix `Test_parseInsightsStartAndEndTime` flake Fixes https://github.com/coder/coder/issues/10600 chore: fix `Test_parseInsightsStartAndEndTime` flake Fixes https://github.com/coder/coder/issues/10600 chore: fix `Test_parseInsightsStartAndEndTime` flake Fixes https://github.com/coder/coder/issues/10600 coderd/insights_internal_test.go * **#12377** <a href=""https://app.graphite.dev/github/pr/coder/coder/12377?utm…",#12377,closed; merged
12517,PR,test(coderd): skip flaky dau test,database/transactions/migrations,"…eries are replaced by insights queries, disabling for now. Closes #12509 coderd/database/dbpurge/dbpurge_test.go coderd/insights_test.go > @johnstcn pointed out this test may be failing due to a timezone issue following a recent DST change; I'm happy to try fix it in the interim if needed I figured that might be the case, but the DAU count is already inaccurate, so I don't think it's worth spending time on. I won't o…",#12517,closed; merged
12645,PR,fix: fix flaky TestWorkspaceProxy_Server_PrometheusEnabled,networking/proxy/websocket,fix: fix flaky TestWorkspaceProxy_Server_PrometheusEnabled Spotted in: https://github.com/coder/coder/actions/runs/8327900959/job/22786685229?pr=12642 fix: fix flaky TestWorkspaceProxy_Server_PrometheusEnabled Spotted in: https://github.com/coder/coder/actions/runs/8327900959/job/22786685229?pr=12642 fix: fix flaky TestWorkspaceProxy_Server_PrometheusEnabled Spotted in: https://github.com/coder/coder/actions/runs/832…,#12645,closed; merged
12700,PR,chore(coderd/workspaceapps/apptest): fix test flake due to concurrent usage of same deployment,database/transactions/migrations,"…art to ProxySubdomain tests. coderd/workspaceapps/apptest/apptest.go ``` create db with template: github.com/coder/coder/v2/coderd/database/postgres.Open /home/runner/actions-runner/_work/coder/coder/coderd/database/postgres/postgres.go:41 - pq: could not write to file ""base/35912/17659"": No space left on device ``` 🏆 EDIT: https://github.com/coder/coder/pull/12702",#12700,closed; merged
